#!/N/u/cderici/Karst/.local/bin/rebench -N -d -v /N/u/cderici/Karst/pycket-bench/rebench.conf
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5062.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	1.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5063.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5062.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5062.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	1.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5083.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5079.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5062.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5062.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5056.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5063.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	1.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5063.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	1.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5062.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5063.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5062.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5062.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5064.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5062.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5089.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5085.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5062.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5062.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5063.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5064.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5059.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5068.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5062.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5058.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5062.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5061.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5056.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5060.000000	ms	cpu	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	0.000000	ms	gc	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
[2016-06-26T10:12:32]	5057.000000	ms	total	ack	RacketNEW	CrossBenchmarks 	0	1		nothing
